tag                                     day             week           month          quarter           year        
byobw                              2.19172189762   1.83675144332   1.60486583929   1.56441003829   1.48975031885    
wondercon                          2.81536324764   1.64327350208   1.07576641151   1.00176806543   1.01140426471    
baytobreakers                      2.89229972427   2.27197376215   2.13863662768   2.00511344546   1.48975031885    
bild                               2.93727438226   2.70172877127   2.07456965902   1.60137013702   1.07755632707    
airshow                            2.93741502021   2.05643164626   2.16225386659   1.91183117881   1.27985422583    
hires                              2.98685063873   2.76430551102   2.18803363963   1.77796903115   1.07755632707    
stockphoto                         3.07255551691   2.87040152555   2.36949286595   2.03763042346   1.26585675187    
resolution                         3.08492220858   2.82780866638   2.07472544632    1.7848207945   1.07755632707    
jpeg                               3.12055603129   2.92945699209   2.46550241979   2.05663651188    1.3337360272    
jpg                                 3.1386444637   2.89708357744    2.3203335713   1.96482220031    1.3337360272    
cherryblossomfestival              3.26175468515   2.70653921468    2.3398156413   2.04004848988   1.48975031885    
sfpride                            3.28362417341    2.1744449303    1.9743087979   1.73564267334   1.48975031885    
geo                                3.34661997411   3.11767354697   2.47336519644   2.07034031098   1.48975031885    
googleio                           3.35234180569   2.18361206928   2.17067961209   1.75154769968   1.48975031885    
caltrans                           3.37607575117   3.34051820648    3.0715494403   2.55524201604   1.48975031885    
carnaval                           3.37690148599   3.11332919929   2.61351606215   1.88181000102   1.48975031885    
blueangels                         3.39193602864   2.69501286956   2.34202719243   2.03428288352   1.48975031885    
prop8                              3.43532136966   2.94382215337   2.61670533872   2.14109680476   0.900256051269   
macworld                           3.50122857973   2.53618539599   2.09102352862   1.85195560689   1.48975031885    
sundaystreets                       3.6419590052   3.59861131108   3.36055370874   2.75354457769   1.48975031885    
cc                                 3.64286589617   3.29964101049   2.88635036523    2.536868837    1.48975031885    
fleetweek                           3.6737020288   2.95052248322   2.54504936588   2.09694640472   1.48975031885    
ajscamera                          3.67468137093   3.32539846684   3.00413687178   2.39492645825   1.01140426471    
cosplay                            3.74557254242   3.49323761428   3.16131281538   2.80666610385   1.48975031885    
nikoncoolpixs6000                  3.80510650418   2.82968331492   1.60074534315   1.37398608009    0.6829081047    
marriage                           3.84474940306   3.69210122405   3.30274674115   2.69032841219   1.48975031885    
加州                               3.87086317525   3.61138784868   3.17753757531   2.59888609423   1.48975031885    
wwdc                               3.87095603722   2.63244532979   1.97218168612    1.9506344936   1.48975031885    
chihuly                            3.95263970861   3.02315748174    2.3124257085   1.77785429998   1.24068429195    
worldseries                         3.9990018184   3.50441359133   3.15458317146   2.56834344152   1.48975031885    
alpha                              4.00917063068   3.58750906469   3.08169931561   2.62336674242   1.48975031885    
fireworks                          4.01627940975   3.69245787192    3.2683240204   2.75480087051   1.48975031885    
nihonmachi                         4.05273381747   3.64691298871    3.3026309922   2.79438456689   1.48975031885    
foto                               4.06688078777   3.83155546327   3.34543183968   2.67293916605   1.48975031885    
eua                                4.08103778728   3.33032778135   2.85216402194   2.49500212041   1.27985422583    
costumes                            4.0822798542   3.88276105916   3.45896041887   2.72510167279   1.48975031885    
rally                               4.097193187    3.85889224609   3.50979403328   2.91860654439   1.48975031885    
ucsfschoolofdentistry              4.10858940174   3.79105310228   3.14132242863   2.47710603957   1.01140426471    
pride                              4.20604251529   3.75688840044    3.4610610255    2.8642962513   1.48975031885    
museo                              4.20986290895   3.91421140025   3.61200770922   2.86336591779   1.48975031885    
舊金山                             4.26358822825   3.91003465775    3.3971256666   2.82016899743   1.48975031885    
race                               4.30325984633   4.08976291574   3.48853969892   2.75083582879   1.48975031885    
lgbt                               4.30648206409    3.9340193534   3.40546478349   2.83869181545   1.48975031885    
1600squirrels                      4.36409256089   4.27117087228   3.56431530497   2.77790706605   1.48975031885    
museums                            4.39015571278   4.19008579733   3.63951131771   2.87299281467   1.48975031885    
celebration                        4.40590241557   4.04646657926   3.59680980414   2.86310253812   1.48975031885    
restaurantguide                    4.42518440607   4.07323743764   3.33298059879   2.47324947952   1.01140426471    
restaurantreview                   4.43666613816   4.08956033401   3.33298059879   2.47324947952   1.01140426471    
halloween                          4.46221741118   3.75149126015   3.14465509659   2.49274927924   1.27985422583    
lenstagged                         4.49245007916   4.36656123884   3.60651101677   2.77790706605   1.48975031885    
foodnutcom                         4.51875615023   4.18652743787    3.4642119914   2.60712639173   1.27985422583    
nocal                              4.55171793993   4.37601802078   3.65954912553   2.81898953989   1.48975031885    
victorianarchitecture              4.55398007456   3.94220006762   3.36216651011    2.6472148021   1.48975031885    
high                               4.56216267974   4.40555734699   3.84046348487   2.87299281467   1.48975031885    
parade                             4.56817605709   4.22288301396   3.76610145873   2.91860654439   1.48975031885    
northern                           4.57627366286    4.247044912    3.70738478746   2.82519238905   1.48975031885    
photowalk                          4.57718499143   4.32535023098   3.70078398451   2.87299281467   1.48975031885    
national                           4.62098720824    4.4417821806   3.74772996933   2.87299281467   1.48975031885    
amerika                            4.62488186037   4.09791503654   3.57825788608   2.81186039552   1.48975031885    
